TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170311201325,0,0,90,0,80.0,20,50
20170311201326,1000,31,90,20,80.0,20,50
20170311201327,1000,31,90,20,80.0,20,50
20170311201328,1000,31,90,20,80.0,20,50
20170311201329,1000,31,90,20,80.0,20,50
20170311201330,1000,31,90,20,80.0,20,50
20170311201331,1000,31,90,20,80.0,20,50
20170311201332,1000,31,90,20,80.0,20,50
20170311201333,1000,31,90,20,80.0,20,50
20170311201334,1000,31,90,20,80.0,20,50
20170311201335,1000,31,90,20,80.0,20,50
20170311201336,1000,31,90,20,80.0,20,50
20170311201337,1000,31,90,20,80.0,20,50
20170311201338,1000,31,90,20,80.0,20,50
20170311201339,1000,31,90,20,80.0,20,50
20170311201340,1000,31,90,20,80.0,20,50
20170311201341,1000,31,90,20,80.0,20,50
20170311201342,1000,31,90,20,80.0,20,50
20170311201343,1000,31,90,20,80.0,20,50
20170311201344,1000,31,90,20,80.0,20,50
20170311201345,1000,31,90,20,80.0,20,50
20170311201346,1000,31,90,20,80.0,20,50
20170311201347,1000,31,90,20,80.0,20,50
20170311201348,1000,31,90,20,80.0,20,50
20170311201349,1000,31,90,20,80.0,20,50
20170311201350,1000,31,90,20,80.0,20,50
20170311201351,1000,31,90,20,80.0,20,50
20170311201352,1000,31,90,20,80.0,20,50
20170311201353,1000,31,90,20,80.0,20,50
20170311201354,1000,31,90,20,80.0,20,50
20170311201355,1000,31,90,20,80.0,20,50
20170311201356,1000,31,90,20,80.0,20,50
20170311201357,1000,31,90,20,80.0,20,50
20170311201358,1000,31,90,20,80.0,20,50
20170311201359,1000,31,90,20,80.0,20,50
